repo,total_merged_prs,passed_first_try,pass_rate
2dust/v2rayNG,0,0,0.0
GitSquared/edex-ui,0,0,0.0
sudheerj/reactjs-interview-questions,0,0,0.0
Unitech/pm2,0,0,0.0
k88hudson/git-flight-rules,0,0,0.0
OpenBB-finance/OpenBB,0,0,0.0
alex/what-happens-when,0,0,0.0
Alamofire/Alamofire,0,0,0.0
coreybutler/nvm-windows,0,0,0.0
unslothai/unsloth,0,0,0.0
ClickHouse/ClickHouse,0,0,0.0
faif/python-patterns,0,0,0.0
expo/expo,0,0,0.0
Light-City/CPlusPlusThings,0,0,0.0
yarnpkg/yarn,0,0,0.0
ggml-org/whisper.cpp,0,0,0.0
apache/spark,0,0,0.0
FlowiseAI/Flowise,0,0,0.0
Stability-AI/stablediffusion,0,0,0.0
getsentry/sentry,0,0,0.0
coqui-ai/TTS,0,0,0.0
Kong/kong,0,0,0.0
jellyfin/jellyfin,0,0,0.0
nolimits4web/swiper,0,0,0.0
mingrammer/diagrams,0,0,0.0
apache/dubbo,0,0,0.0
bailicangdu/vue2-elm,0,0,0.0
apachecn/ailearning,0,0,0.0
spf13/cobra,0,0,0.0
THUDM/ChatGLM-6B,0,0,0.0
hpcaitech/ColossalAI,0,0,0.0
iina/iina,0,0,0.0
dcloudio/uni-app,0,0,0.0
apache/airflow,0,0,0.0
nwjs/nw.js,0,0,0.0
styled-components/styled-components,0,0,0.0
GokuMohandas/Made-With-ML,0,0,0.0
KRTirtho/spotube,0,0,0.0
astral-sh/ruff,0,0,0.0
tldraw/tldraw,0,0,0.0
vuetifyjs/vuetify,0,0,0.0
hexojs/hexo,0,0,0.0
bevyengine/bevy,0,0,0.0
psf/black,0,0,0.0
NaiboWang/EasySpider,0,0,0.0
streamlit/streamlit,0,0,0.0
freqtrade/freqtrade,0,0,0.0
fastlane/fastlane,0,0,0.0
tw93/Pake,0,0,0.0
docker/awesome-compose,0,0,0.0
bannedbook/fanqiang,0,0,0.0
zhongyang219/TrafficMonitor,0,0,0.0
ziglang/zig,0,0,0.0
cli/cli,0,0,0.0
mitmproxy/mitmproxy,0,0,0.0
LC044/WeChatMsg,0,0,0.0
tabler/tabler,0,0,0.0
chubin/cheat.sh,0,0,0.0
1c7/chinese-independent-developer,0,0,0.0
dylanaraps/pure-bash-bible,0,0,0.0
AykutSarac/jsoncrack.com,0,0,0.0
chakra-ui/chakra-ui,0,0,0.0
google-research/bert,0,0,0.0
deepspeedai/DeepSpeed,0,0,0.0
bradtraversy/50projects50days,0,0,0.0
wg/wrk,0,0,0.0
php/php-src,0,0,0.0
floodsung/Deep-Learning-Papers-Reading-Roadmap,0,0,0.0
evanw/esbuild,0,0,0.0
penpot/penpot,0,0,0.0
